word	idx	context	definition	domain	hypernym
portmanteau	8	` brunch ' is a well - known portmanteau	a new word formed by joining two others and combining their meanings	11	['neologism', 'neology', 'coinage']
fundus	1	the fundus of the stomach	(anatomy) the base of a hollow organ or that part of the organ farthest from its opening	11	['structure', 'anatomical_structure', 'complex_body_part', 'bodily_structure', 'body_structure']
occurrence	4	a disease of frequent occurrence	an instance of something occurring	11	['presence']
zero	10	In unary and k - adic notation in general , zero is the empty string .	a mathematical element that when added to another number yields the same number	11	['digit', 'figure']
dexterity	9	She twirled the knife through her fingers with impressive dexterity .	adroitness in using the hands	11	['adeptness', 'adroitness', 'deftness', 'facility', 'quickness']
assumption	2	the Nazi assumption of power in 1934	the act of taking possession of or power over something	11	['acquisition']
clime	4	plants from a cold clime travel best in winter	the weather in some location averaged over some long period of time	11	['environmental_condition']
defense	4	they died in the defense of Stalingrad	(military) military action or resources protecting a country against potential enemies	11	['military_action', 'action']
potluck	4	Here 's a good potluck of beans and stew .	whatever happens to be available especially when offered to an unexpected guest or when brought by guests and shared by all	11	['meal', 'repast']
adoxography	4	Elizabethan schoolboys were taught adoxography , the art of eruditely praising worthless things	fine writing in praise of trivial or base subjects	11	['writing', 'authorship', 'composition', 'penning']
peradventure	3	this proves beyond peradventure that he is innocent	doubt or uncertainty as to whether something is the case	11	['doubt', 'uncertainty', 'incertitude', 'dubiety', 'doubtfulness', 'dubiousness']
mark	4	he left an indelible mark on the American theater	the impression created by doing something unusual or extraordinary that people notice and remember	11	['impression', 'effect']
liberty	1	at liberty to choose whatever occupation one wishes	freedom of choice	11	['freedom']
making	1	the making of measurements	the act that results in something coming to be	11	['production']
manipulation	1	his manipulation of his friends was scandalous	exerting shrewd or devious influence especially for one's own advantage	11	['influence']
intention	1	The intention of this legislation is to boost the economy .	an anticipated outcome that is intended or that guides your planned actions	11	['goal', 'end']
brother	3	Thank you , brother . I would like to thank the brother who just spoke .	a male person who is a fellow member (of a fraternity or religion or other group)	11	['member', 'fellow_member']
socialization	1	Force socialization rarely creates strong friendships , but there are exceptions .	the act of meeting for social purposes	11	['meeting', 'coming_together']
dimple	4	The accident created a dimple in the hood of the car .	any slight depression in a surface	11	['depression', 'impression', 'imprint']
conclusion	1	the conclusion of the peace treaty	a final settlement	11	['settlement']
breeze	1	The breeze rustled the papers on her desk .	a slight wind (usually refreshing)	11	['wind', 'air_current', 'current_of_air']
middle	5	I woke up in the middle of the night .	an intermediate part or section; - Aristotle	11	['part', 'section', 'division']
redefinition	7	words like ` conservative ' require periodic redefinition	the act of giving a new definition	11	['definition']
rail	4	he was concerned with rail safety	short for railway	11	['railway', 'railroad', 'railroad_line', 'railway_line', 'railway_system']
hitter	2	a hard hitter	someone who hits	11	['mover']
ball	1	the ball at the base of the thumb	a more or less rounded anatomical body or mass	11	['structure', 'anatomical_structure', 'complex_body_part', 'bodily_structure', 'body_structure']
fatigue	1	growing fatigue was apparent from the decline in the execution of their athletic skills	temporary loss of strength and energy resulting from hard physical or mental work	11	['temporary_state']
herald	4	Rouge Dragon is a herald at the College of Arms .	(formal) a person who announces important news	11	['messenger', 'courier']
wish	4	it was his last wish	the particular preference that you have	11	['preference', 'druthers']
aptness	1	The aptness of men to follow example	a disposition to behave in a certain way	11	['disposition']
cooperation	1	economic cooperation	the practice of cooperating	11	['practice', 'pattern']
house	3	he counted the house	the audience gathered together in a theatre or cinema	11	['audience']
sight	4	he was a familiar sight on the television	anything that is seen	11	['display']
gauntlet	3	threw down the gauntlet	to offer or accept a challenge	11	['challenge']
metadata	3	Most websites contain metadata to tell the computer how to lay the words out on the screen .	data about data	11	['data', 'information']
bridge	6	her glasses left marks on the bridge of her nose	the hard ridge that forms the upper part of the nose	11	['structure', 'anatomical_structure', 'complex_body_part', 'bodily_structure', 'body_structure']
abuse	1	All abuse , whether physical , verbal , psychological or sexual , is bad .	cruel or inhumane treatment	11	['mistreatment']
brush	6	She gave her hair a quick brush .	the act of brushing your teeth	11	['dental_care']
laugh	3	thanks for the laugh	a humorous anecdote or remark intended to provoke laughter	11	['wit', 'humor', 'humour', 'witticism', 'wittiness']
move	3	It 's your move ! Roll the dice !	(game) a player's turn to take some action permitted by the rules of the game	11	['turn', 'play']
streak	1	a streak of wildness	a distinctive characteristic	11	['characteristic']
deed	3	he signed the deed	a legal document signed and sealed and delivered to effect a transfer of property and to show the legal right to possess it	11	['legal_document', 'legal_instrument', 'official_document', 'instrument']
escalation	4	higher wages caused an escalation of prices	an increase to counteract a perceived discrepancy	11	['increase', 'step-up']
blend	5	` smog ' is a blend of ` smoke ' and ` fog '	a new word formed by joining two others and combining their meanings	11	['neologism', 'neology', 'coinage']
fight	1	a fight broke out at the hockey game	the act of fighting; any contest or struggle	11	['conflict', 'struggle', 'battle']
license	2	the intolerable license with which the newspapers break ... the rules of decorum"- Edmund Burke	excessive freedom; lack of due restraint; - Will Durant; - Edmund Burke	11	['liberty']
bastion	2	the last bastion of communism	a group that defends a principle	11	['defense', 'defence', 'defense_force', 'defence_force']
bondage	5	he sought release from his bondage to Satan	the state of being under the control of a force or influence or abstract power; he sought release from his bondage to Satana self freed from the bondage of time"	11	['subjugation', 'subjection']
homogenization	1	the homogenization of cream	the act of making something homogeneous or uniform in composition	11	['blend', 'blending']
plume	1	a plume of smoke	anything that resembles a feather in shape or lightness	11	['shape', 'form']
work	7	the symphony was hailed as an ingenious work	a product produced or accomplished through the effort or activity or agency of a person or thing	11	['product', 'production']
demon	3	she 's a demon at math	someone extremely diligent or skillful	11	['actor', 'doer', 'worker']
bye	3	he had a bye in the first round	you advance to the next round in a tournament without playing an opponent	11	['concession', 'conceding', 'yielding']
affair	5	it is none of your affair	a vaguely specified concern	11	['concern']
capital	2	the drug capital of Columbia	a center that is associated more than any other with some activity or product	11	['center', 'centre']
longevity	2	had unusual longevity in the company	duration of service	11	['longness']
fuel	1	more fuel is needed during the winter months	a substance that can be consumed to produce energy	11	['substance']
torture	7	In every war there are acts of torture that cause the world to shudder .	the deliberate, systematic, or wanton infliction of physical or mental suffering by one or more persons in an attempt to force another person to yield information or to make a confession or for any other reason	11	['persecution']
grunt	3	he went from grunt to chairman in six years	an unskilled or low-ranking soldier or other worker	11	['unskilled_person']
tradecraft	13	the CIA chief of station accepted responsibility for his agents ' failures of tradecraft	skill acquired through experience in a trade; often used to discuss skill in espionage	11	['craft', 'craftsmanship', 'workmanship']
squeaker	4	which hinge is the squeaker ?	any artifact that makes a squeaking sound when used	11	['artifact', 'artefact']
wrong	4	Injustice is a heinous wrong .	that which is contrary to the principles of justice or law	11	['injustice', 'unjustness']
protest	6	the senator rose to register his protest	a formal and solemn declaration of objection	11	['objection']
scopolamine	1	transdermal scopolamine is used to treat motion sickness	an alkaloid with anticholinergic effects that is used as a sedative and to treat nausea and to dilate the pupils in ophthalmic procedures	11	['alkaloid']
bravura	3	in a final bravura the ballerina appeared to be floating in water	brilliant and showy technical skill	11	['virtuosity']
nowhere	4	he came out of nowhere	an insignificant place	11	['obscurity']
wise	2	in no wise	a way of doing or being	11	['manner', 'mode', 'style', 'way', 'fashion']
sort	4	she served a creamy sort of dessert thing	an approximate definition or example	11	['similarity']
